garment_type,name,description,duration_min,base_price
falda,Colocar broche de presión,Instalación de broche de presión para falda,10,15.0
falda,Colocar broche de gancho,Instalación de broche de gancho para falda,10,15.0
falda,Colocar botón,Instalación de botón para falda,10,10.0
falda,Poner resorte en cintura,Instalación de resorte en cintura para falda,30,90.0
suéter,Ajuste de magas,Ajuste a medida de magas para suéter,30,75.0
suéter,Ajuste de hombros,Ajuste a medida de hombros para suéter,45,1.0
suéter,Ajuste de costados con mangas,Ajuste a medida de costados con mangas para suéter,55,145.0
suéter,Ajuste de manga con puño,Ajuste a medida de manga con puño para suéter,55,100.0
suéter,Ajuste de costados con manga y subir puño,Ajuste a medida de costados con manga y subir puño para suéter,70,175.0
suéter,"Ajuste de costados con manga, dobladillo y puño","Ajuste a medida de costados con manga, dobladillo y puño para suéter",60,270.0
suéter,Ajuste de costados con dobladillo,Ajuste a medida de costados con dobladillo para suéter,45,145.0
suéter,Ajuste de hombro y subir puño,Ajuste a medida de hombro y subir puño para suéter,60,195.0
suéter,"Subir hombors, puños y faldilla","Modificación de altura/largo (subir hombors, puños y faldilla) para mejorar el entalle para suéter",45,190.0
suéter,"Subir hombros, puños, faldilla y ajuste de costados ","Modificación de altura/largo (subir hombros, puños, faldilla y ajuste de costados ) para mejorar el entalle para suéter",60,
suéter,Subir puños,Modificación de altura/largo (subir puños) para mejorar el entalle para suéter,30,145.0
suéter,Dobladillo de faldilla,Ajuste de largo con dobladillo de faldilla para suéter,30,85.0
suéter,Dobladillo a maquina y subir puño,Ajuste de largo con dobladillo a maquina y subir puño para suéter,45,145.0
